"Title","Gross Value Added (Average) at basic prices: CP SA £m"
"CDID","ABML"
"Source dataset ID","BB"
"PreUnit","£"
"Unit","m"
"Release date","31-10-2017"
"Next release"," 31 July 2018"
"Important notes",
"1948","10532"
"1949","11303"
"1950","11766"
"1951","13173"
"1952","14387"
"1953","15445"
"1954","16362"
"1955","17737"
"1956","19299"
"1957","20566"
"1958","21642"
"1959","22686"
"1960","24509"
"1961","26098"
"1962","27247"
"1963","29056"
"1964","31605"
"1965","34059"
"1966","36291"
"1967","38726"
"1968","42342"
"1969","45639"
"1970","51541"
"1971","58140"
"1972","65641"
"1973","76559"
"1974","87449"
"1975","108669"
"1976","128337"
"1977","149064"
"1978","174199"
"1979","205422"
"1980","239956"
"1981","268444"
"1982","293205"
"1983","323050"
"1984","346247"
"1985","380943"
"1986","408170"
"1987","452775"
"1988","506965"
"1989","561712"
"1990","612566"
"1991","642354"
"1992","664385"
"1993","699891"
"1994","733516"
"1995","766797"
"1996","819713"
"1997","856748"
"1998","891162"
"1999","923122"
"2000","976614"
"2001","1012259"
"2002","1061585"
"2003","1124127"
"2004","1177990"
"2005","1248748"
"2006","1318580"
"2007","1383409"
"2008","1422307"
"2009","1392273"
"2010","1422028"
"2011","1458820"
"2012","1505718"
"2013","1564430"
"2014","1638722"
"2015","1684937"
"2016","1747647"
