,Month,Visits,Spend
1,01/01/2016,124.8,1066
2,01/02/2016,7.6,1297
3,01/03/2016,9.7,1641
4,01/04/2016,10.7,1883
5,01/05/2016,10.4,1933
6,01/06/2016,9.6,1961
7,01/07/2016,12.7,2890
8,01/08/2016,16,3394
9,01/09/2016,8.5,1917
10,01/10/2016,10.3,2026
11,01/11/2016,7.4,1422
12,01/12/2016,10.4,1649
13,01/01/2017,5.6,1006
14,01/02/2017,7.3,1282
15,01/03/2017,8.3,1443
16,01/04/2017,11.7,2172
17,01/05/2017,10.2,2053
18,01/06/2017,10,2207
19,01/07/2017,12.2,2773
20,01/08/2017,14.9,3176
21,01/09/2017,10.4,2244
22,01/10/2017,10,1952
23,01/11/2017,9.4,1665
24,01/12/2017,10.8,1710
25,01/01/2018,7.1,1283
26,01/02/2018,8.3,1450
