"","Organisation","Publication","Date"
"1","ONS","Overseas travel and tourism: May 2018 provisional results","20-07-2018"
"2","ONS","DCMS Economic Estimates: Trade in Tourism","25-07-2018"
"3","ONS","Northern Ireland Local Government District Tourism Statistics 2017","26-07-2018"
"4","ONS","Northern Ireland Local Government District Tourism Statistics 2017","26-07-2018"
"5","ONS","Overseas travel and tourism statistical bulletin of first estimates provisional results for January, February and March 2018","02-08-2018"
"6","ONS","Overseas travel and tourism: March 2018 provisional results","02-08-2018"
"7","ONS","Overseas travel and tourism, provisional: January to March 2018","02-08-2018"
"8","ONS","Overseas travel and tourism: April 2018 provisional results","16-08-2018"
"9","ONS","Northern Ireland Tourism Statistics April 2017– March 2018","23-08-2018"
"10","ONS","The UK Tourism Satellite Account (UK-TSA): 2016","28-11-2018"
